,Unnamed: 0,agent_id,timeStamp_posix,latitude_deg,longitude_deg,speed_ms,heading_rad,heading_deg,accel_ms2,agent_type
3022,3022,3,1597257937.80535,45.566939605600005,8.0471538899,8.704458,4.9197432033891,281.880521842367,-0.137184,car
3023,3023,3,1597257937.93592,45.5669410303,8.0471432,8.549855,4.91613839440037,281.673981501362,-0.154603,car
3024,3024,3,1597257937.98521,45.566942414799996,8.0471326452,8.445742,4.91022573375059,281.335211000436,-0.104113000000002,car
3025,3025,3,1597257938.11122,45.566943808999994,8.047122209500001,8.376168,4.90641297726659,281.116756145592,-0.06957399999999901,car
3026,3026,3,1597257938.21977,45.566945152799995,8.0471119065,8.260981,4.9032322385826,280.934513243266,-0.11518700000000097,car
3027,3027,3,1597257938.34538,45.5669464825,8.047101748200001,8.160101,4.90125252913408,280.821084247204,-0.10088,car
3028,3028,3,1597257938.40949,45.5669477917,8.0470917967,7.987871000000001,4.89912888383145,280.69940833418,-0.172229999999999,car
3029,3029,3,1597257938.48212,45.5669490196,8.0470820915,7.797758,4.89995060588338,280.746489539688,-0.190113,car
3030,3030,3,1597257938.61521,45.5669502379,8.0470725756,7.629853,4.89785769846482,280.626574777693,-0.167905,car
3031,3031,3,1597257938.73944,45.5669514004,8.0470632497,7.458122,4.89508474442212,280.467696214263,-0.171730999999999,car
3032,3032,3,1597257938.8129401,45.566952540100004,8.0470540867,7.308407000000001,4.895669219915611,280.501184193269,-0.149715,car
3033,3033,3,1597257938.94495,45.56695367060001,8.0470451552,7.118855,4.89460455189832,280.440183209295,-0.189552,car
3034,3034,3,1597257939.02355,45.5669547691,8.0470364551,6.9387089999999985,4.89763069244322,280.613568290731,-0.180146,car
3035,3035,3,1597257939.11615,45.566955846899994,8.0470279907,6.746938,4.89963983434038,280.728683641881,-0.191771,car
3036,3036,3,1597257939.2162,45.5669568882,8.0470197748,6.5272,4.90539781276964,281.058591504406,-0.219738,car
3037,3037,3,1597257939.34004,45.5669578938,8.047011785499999,6.331039,4.90743029143988,281.17504395416097,-0.196161,car
3038,3038,3,1597257939.46731,45.566958855,8.0470039877,6.161984,4.90755666358955,281.182284544985,-0.16905499999999898,car
3039,3039,3,1597257939.53812,45.566959716599996,8.0469964011,5.960789,4.91320625485317,281.505982280364,-0.201195,car
3040,3040,3,1597257939.59936,45.5669605628,8.0469890479,5.776211,4.91070125474368,281.36245634641,-0.184578,car
3041,3041,3,1597257939.71439,45.5669613707,8.0469819236,5.576388,4.91259806590484,281.471135620478,-0.199823,car
3042,3042,3,1597257939.80133,45.5669621487,8.046975059500001,5.345993,4.91466362400958,281.589483382219,-0.230395,car
3043,3043,3,1597257939.96649,45.5669628999,8.0469684939,5.094941,4.91374926021277,281.53709419572203,-0.251052,car
3044,3044,3,1597257940.01793,45.5669636268,8.0469622094,4.8588879999999985,4.91652510414037,281.696138337361,-0.236053,car
3045,3045,3,1597257940.12115,45.566964324,8.0469562137,4.62154,4.9150040981808,281.608991115263,-0.237348,car
3046,3046,3,1597257940.22065,45.566964974399994,8.0469505161,4.365208,4.92052232225217,281.92516206496003,-0.256332,car
3047,3047,3,1597257940.3579998,45.566965537,8.046945126799999,4.080304,4.92199312417749,282.00943280778,-0.284904,car
3048,3048,3,1597257940.45357,45.5669660537,8.046940061,3.814698,4.9209922971490405,281.952089643028,-0.265606,car
3049,3049,3,1597257940.53793,45.566966493900004,8.0469353427,3.520577,4.9171934626589415,281.734432459677,-0.294121,car
3050,3050,3,1597257940.6163,45.56696693479999,8.0469310824,3.216567,4.91618650142702,281.67673783095404,-0.30401,car
3051,3051,3,1597257940.7167199,45.566967346300004,8.046927220599999,2.915671,4.92175759917711,281.99593821928903,-0.300896,car
3052,3052,3,1597257940.8234801,45.5669677093,8.046923773,2.596277,4.9246659678578695,282.16257546996496,-0.319394,car
3053,3053,3,1597257940.91941,45.566968033900004,8.0469207397,2.282223,4.92877666981959,282.39810134320703,-0.314054,car
3054,3054,3,1597257941.0077,45.5669683454,8.046918078300001,2.004476,4.937280789655549,282.88535151828097,-0.277747,car
3055,3055,3,1597257941.11944,45.5669685943,8.0469157563,1.734641,4.93974955330712,283.026801256132,-0.269835,car
3056,3056,3,1597257941.24542,45.5669688179,8.046913731,1.509782,4.939535343690442,283.0145279491651,-0.224859,car
3057,3057,3,1597257941.32485,45.5669690374,8.0469119858,1.309495,4.949032959682911,283.55870126096903,-0.200287,car
3058,3058,3,1597257941.46355,45.5669692035,8.0469104536,1.154749,4.96534899051971,284.493540966323,-0.154746,car
3059,3059,3,1597257941.52105,45.5669693598,8.0469090511,1.088531,4.964943256162751,284.470294100066,-0.066218,car
3060,3060,3,1597257941.62182,45.5669695101,8.0469077294,1.029591,4.964670222768451,284.45465043890596,-0.05894,car
3061,3061,3,1597257941.73243,45.5669696291,8.0469064783,0.976939,4.96059504044889,284.221159691249,-0.052652,car
3062,3062,3,1597257941.80285,45.566969741499996,8.0469052723,0.937591,4.937189270063429,282.88010783191004,-0.039348,car
3063,3063,3,1597257941.9274,45.566969871000005,8.0469040964,0.915997,4.926913485807638,282.291348762867,-0.021594,car
3064,3064,3,1597257942.0174,45.566969990299995,8.0469029518,0.891367,4.93178803077724,282.570639616671,-0.024630000000000003,car
3065,3065,3,1597257942.12794,45.566970102,8.0469018312,0.865035,4.9385812952836,282.959865002001,-0.026332,car
3066,3066,3,1597257942.2286801,45.56697021260001,8.0469007449,0.835074,4.932097021871138,282.58834350225897,-0.029961,car
3067,3067,3,1597257942.38427,45.566970304399995,8.0468996915,0.8078029999999999,4.910512872225231,281.35166282316897,-0.027271,car
3068,3068,3,1597257942.43082,45.566970392799995,8.0468986683,0.788175,4.88838412438035,280.083778965749,-0.019628,car
3069,3069,3,1597257942.5181901,45.5669704779,8.0468976762,0.7611680000000001,4.87602577990158,279.375697985346,-0.027007,car
3070,3070,3,1597257942.63237,45.5669705597,8.0468967181,0.73573,4.866588374708081,278.834974498204,-0.025438,car
3071,3071,3,1597257942.7177699,45.5669706305,8.0468957871,0.734286,4.8627604083918206,278.615648184164,-0.001444,car
3072,3072,3,1597257942.81884,45.5669706936,8.0468948135,0.803887,4.84337865616262,277.505155581863,0.069601,car
3073,3073,3,1597257942.9300401,45.56697076,8.0468937543,0.8912559999999999,4.810159678249598,275.601848347708,0.087369,car
3074,3074,3,1597257943.02115,45.566970830600006,8.0468926156,0.967924,4.77545224476072,273.613258891064,0.076668,car
3075,3075,3,1597257943.164,45.5669708883,8.0468913448,1.090562,4.7444880431610095,271.839140823408,0.122638,car
3076,3076,3,1597257943.22103,45.5669709421,8.0468899027,1.247026,4.71880428932604,270.367570126612,0.15646400000000002,car
3077,3077,3,1597257943.36992,45.5669709763,8.0468882711,1.404388,4.68888903376508,268.653552239913,0.157362,car
3078,3078,3,1597257943.43279,45.5669709829,8.0468864383,1.578511,4.6559768161880895,266.767821078336,0.174123,car
3079,3079,3,1597257943.52086,45.566971044700004,8.0468844245,1.749653,4.647759756505031,266.297018238489,0.17114200000000002,car
3080,3080,3,1597257943.61847,45.566971047799996,8.0468821383,1.954651,4.612974858533518,264.303990393929,0.204998,car
3081,3081,3,1597257943.7551901,45.566970997,8.0468796226,2.142376,4.58131801455707,262.490186841374,0.187725,car
